製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件,pmda_薬効分類,pmda_リスク区分
ダイヤルかぜ7顆粒,ジェーピーエス製薬,指定第2類,風邪薬,かぜの諸症状(鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み)の緩和,次の量を食後なるべく30分以内に水又は白湯にて服用してください。  [年齢:1回量:1日服用回数] 成人(15才以上):1包:3回 11才以上15才未満:2/3包:3回 7才以上11才未満:1/2包:3回 3才以上7才未満:1/3包:3回 1才以上3才未満:1/4包:3回 1才未満:服用しないこと,回 11才以上15才未満:2/3包:3回 7才以上11才未満:1/2包:3回 3才以上7才未満:1/3包:3回 1才以上3才未満:1/4包:3回 1才未満:服用しないこと,"アセトアミノフェン
グアヤコールスルホン酸カリウム
デキストロメトルファン臭化水素酸塩水和物
リボフラビンリン酸エステルナトリウム
無水カフェイン
麦門冬湯乾燥エキス
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ダイヤルかぜ7錠剤,ジェーピーエス製薬,指定第2類,風邪薬,かぜの諸症状(のどの痛み、せき、たん、悪寒(発熱によるさむけ)、発熱、頭痛、関節の痛み、筋肉の痛み)の緩和,次の量を食後なるべく30分以内に水又は白湯にて服用してください。  [年齢:1回量:1日服用回数] 成人(15才以上):4錠:3回 15才未満:服用しないこと,[年齢:1回量:1日服用回数] 成人(15才以上):4錠:3回 15才未満:服用しないこと,"アセトアミノフェン
グアヤコールスルホン酸カリウム
デキストロメトルファン臭化水素酸塩水和物
リボフラビンリン酸エステルナトリウム
麦門冬湯乾燥エキス
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ダイヤルかぜ5顆粒,ジェーピーエス製薬,指定第2類,風邪薬,かぜの諸症状(鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み)の緩和,次の量を食後なるべく30分以内に水又は白湯にて服用してください。  [年齢:1回量:1日服用回数] 成人(15才以上):1包:3回 11才以上15才未満:2/3包:3回 7才以上11才未満:1/2包:3回 3才以上7才未満:1/3包:3回 1才以上3才未満:1/4包:3回 1才未満:服用しないこと,回 11才以上15才未満:2/3包:3回 7才以上11才未満:1/2包:3回 3才以上7才未満:1/3包:3回 1才以上3才未満:1/4包:3回 1才未満:服用しないこと,"アセトアミノフェン
グアヤコールスルホン酸カリウム
デキストロメトルファン臭化水素酸塩水和物
リボフラビンリン酸エステルナトリウム
半夏厚朴湯乾燥エキス
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ダイヤルかぜ5錠剤,ジェーピーエス製薬,指定第2類,風邪薬,かぜの諸症状(鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み)の緩和,次の量を食後なるべく30分以内に水又は白湯にて服用してください。  [年齢:1回量:1日服用回数] 成人(15才以上):3錠:3回 11才以上15才未満:2錠:3回 11才未満:服用しないこと,[年齢:1回量:1日服用回数] 成人(15才以上):3錠:3回 11才以上15才未満:2錠:3回 11才未満:服用しないこと,"アセトアミノフェン
グアヤコールスルホン酸カリウム
デキストロメトルファン臭化水素酸塩水和物
リボフラビンリン酸エステルナトリウム
半夏厚朴湯乾燥エキス
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ダイヤルかぜ3顆粒,ジェーピーエス製薬,指定第2類,風邪薬,かぜの諸症状(鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み)の緩和,次の量を食後なるべく30分以内に水又は白湯にて服用してください。  [年齢:1回量:1日服用回数] 成人(15才以上):1包:3回 11才以上15才未満:2/3包:3回 7才以上11才未満:1/2包:3回 3才以上7才未満:1/3包:3回 1才以上3才未満:1/4包:3回 1才未満:服用しないこと,回 11才以上15才未満:2/3包:3回 7才以上11才未満:1/2包:3回 3才以上7才未満:1/3包:3回 1才以上3才未満:1/4包:3回 1才未満:服用しないこと,"アセトアミノフェン
グアヤコールスルホン酸カリウム
デキストロメトルファン臭化水素酸塩水和物
リボフラビンリン酸エステルナトリウム
柴胡桂枝湯乾燥エキス
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ダイヤルかぜ3錠剤,ジェーピーエス製薬,指定第2類,風邪薬,かぜの諸症状(鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み)の緩和,次の量を食後なるべく30分以内に水又は白湯にて服用してください。  [年齢:1回量:1日服用回数] 成人(15才以上):3錠:3回 11才以上15才未満:2錠:3回 11才未満:服用しないこと,[年齢:1回量:1日服用回数] 成人(15才以上):3錠:3回 11才以上15才未満:2錠:3回 11才未満:服用しないこと,"アセトアミノフェン
グアヤコールスルホン酸カリウム
デキストロメトルファン臭化水素酸塩水和物
リボフラビンリン酸エステルナトリウム
柴胡桂枝湯乾燥エキス
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ダイヤルかぜ2顆粒,ジェーピーエス製薬,第2類,風邪薬,かぜの諸症状(鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み)の緩和,次の量を食後なるべく30分以内に水又は白湯にて服用してください。  [年齢:1回量:1日服用回数] 成人(15才以上):1包:3回 11才以上15才未満:2/3包:3回 7才以上11才未満:1/2包:3回 3才以上7才未満:1/3包:3回 1才以上3才未満:1/4包:3回 1才未満:服用しないこと,回 11才以上15才未満:2/3包:3回 7才以上11才未満:1/2包:3回 3才以上7才未満:1/3包:3回 1才以上3才未満:1/4包:3回 1才未満:服用しないこと,"アセトアミノフェン
グアヤコールスルホン酸カリウム
デキストロメトルファン臭化水素酸塩水和物
リボフラビンリン酸エステルナトリウム
小青竜湯乾燥エキス
無水カフェイン
d−クロルフェニラミンマレイン酸塩",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,,,
ダイヤルかぜ2錠剤,ジェーピーエス製薬,第2類,風邪薬,かぜの諸症状(鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み)の緩和,次の量を食後なるべく30分以内に水又は白湯にて服用してください。  [年齢:1回量:1日服用回数] 成人(15才以上):3錠:3回 11才以上15才未満:2錠:3回 11才未満:服用しないこと,[年齢:1回量:1日服用回数] 成人(15才以上):3錠:3回 11才以上15才未満:2錠:3回 11才未満:服用しないこと,"アセトアミノフェン
グアヤコールスルホン酸カリウム
デキストロメトルファン臭化水素酸塩水和物
リボフラビンリン酸エステルナトリウム
小青竜湯乾燥エキス
無水カフェイン
d−クロルフェニラミンマレイン酸塩",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,,,
ダイヤルかぜ1顆粒,ジェーピーエス製薬,第2類,風邪薬,かぜの諸症状(鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み)の緩和,次の量を食後なるべく30分以内に水又は白湯にて服用してください。  [年齢:1回量:1日服用回数] 成人(15才以上):1包:3回 11才以上15才未満:2/3包:3回 7才以上11才未満:1/2包:3回 3才以上7才未満:1/3包:3回 1才以上3才未満:1/4包:3回 1才未満:服用しないこと,回 11才以上15才未満:2/3包:3回 7才以上11才未満:1/2包:3回 3才以上7才未満:1/3包:3回 1才以上3才未満:1/4包:3回 1才未満:服用しないこと,"アセトアミノフェン
グアヤコールスルホン酸カリウム
デキストロメトルファン臭化水素酸塩水和物
リボフラビンリン酸エステルナトリウム
無水カフェイン
葛根湯乾燥エキス
d−クロルフェニラミンマレイン酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ダイヤルかぜ1錠剤,ジェーピーエス製薬,第2類,風邪薬,かぜの諸症状(鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み)の緩和,次の量を食後なるべく30分以内に水又は白湯にて服用してください。  [年齢:1回量:1日服用回数] 成人(15才以上):3錠:3回 11才以上15才未満:2錠:3回 11才未満:服用しないこと,[年齢:1回量:1日服用回数] 成人(15才以上):3錠:3回 11才以上15才未満:2錠:3回 11才未満:服用しないこと,"アセトアミノフェン
グアヤコールスルホン酸カリウム
デキストロメトルファン臭化水素酸塩水和物
リボフラビンリン酸エステルナトリウム
無水カフェイン
葛根湯乾燥エキス
d−クロルフェニラミンマレイン酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
タイムコール去たん錠,日東薬品工業,第2類,風邪薬,たん、たんのからむせき,"次の量を食後に服用してください
成人(15歳以上):1回2錠
8歳以上15歳未満:1回1錠
1日3回服用
8歳未満:服用しないこと
本剤の服用により、一時的にたんの量が増加することがあります
<用法・用量に関連する注意>
1.定められた用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください",8,"ブロムヘキシン塩酸塩
L−カルボシステイン",禁止物質なし,,,,
タイムコールP錠,日東薬品工業,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"次の1回量を1日3回、食後なるべく30分以内に服用してください
成人(15歳以上):1回3錠
12歳以上15歳未満:1回2錠
12歳未満:服用しないこと
<用法・用量に関連する注意>
1.定められた用法・用量を厳守してください
2.12歳以上の小児に服用させる場合には、保護者の指導監督のもとに服用させてください",12,"アセトアミノフェン
イソプロピルアンチピリン
カンゾウエキス末
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ダイコー散A,アスゲン製薬,指定第2類,風邪薬,せき、たん、ぜんそく,"次記1回量を1日3回食後に服用してください
成人(15歳以上):1回1包
11歳以上15歳未満:1回2/3包
7歳以上11歳未満:1回1/2包
3歳以上7歳未満:1回1/3包
3歳未満:服用しないこと
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください",3,"カンゾウエキス
クロルフェニラミンマレイン酸塩
ジプロフィリン
マオウエキス
無水カフェイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ソボンこどもかぜ薬細粒,滋賀県製薬,指定第2類,風邪薬,かぜの諸症状(鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み)の緩和,次の量を食後なるべく30分以内に水又はぬるま湯で服用して下さい。  [年齢:1回量:1日服用回数] 7才以上11才未満:1回1包:1日3回 3才以上7才未満:1回2/3包:1日3回 1才以上3才未満:1回1/2包:1日3回 1才未満:服用しないこと,以上11才未満:1回1包:1日3回 3才以上7才未満:1回2/3包:1日3回 1才以上3才未満:1回1/2包:1日3回 1才未満:服用しないこと,"アセトアミノフェン
カンゾウエキス末
クロルフェニラミンマレイン酸塩
チペピジンヒベンズ酸塩
リボフラビン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ソアキュア錠,日新薬品工業,第3類,風邪薬,"口内炎,咽頭炎・扁桃炎(のどのはれ,のどの痛み)","次の1回量を1日3回,朝昼晩に服用してください。  [年齢:1回量] 成人(15歳以上):2錠 7歳以上15歳未満:1錠 7歳未満:服用しないこと",[年齢:1回量] 成人(15歳以上):2錠 7歳以上15歳未満:1錠 7歳未満:服用しないこと,"カンゾウ乾燥エキス
トラネキサム酸
ピリドキシン塩酸塩
リボフラビン
L−アスコルビン酸ナトリウム",禁止物質なし,,,,
ゼントルシロップK,オール薬品工業,指定第2類,風邪薬,せき、たん,"次記の1回量を添付の計量コップにとり、1日4回毎食後及び就寝前に服用してください
なお、場合によっては、約4時間の間隔をおいて1日6回まで服用しても差し支えありません
成人(15歳以上):1回10mL
12歳以上~15歳未満:1回6.6mL
12歳未満:服用しないこと
1.本剤は劇薬に該当する成分も含まれていますので、定められた用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください
3.本剤は生薬エキスを含有しておりますので、まれに沈でんを生じることがありますが効果には影響ありませんよく振ってから服用してください",12,"カンゾウエキス
クロルフェニラミンマレイン酸塩
グアヤコールスルホン酸カリウム
ジヒドロコデインリン酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ゼントルシロップ,オール薬品工業,指定第2類,風邪薬,せき、たん,"次記の1回量を1日3~4回、添付の計量コップにとり服用してください
なお、場合によっては、約4時間の間隔をおいて1日6回まで服用しても差し支えありません
成人(15歳以上):1回10mL
11歳以上~15歳未満:1回6.6mL
8歳以上~11歳未満:1回5mL
5歳以上~8歳未満:1回3.3mL
3歳以上~5歳未満:1回2.5mL
1歳以上~3歳未満:1回2mL
3カ月以上~1歳未満:1回1mL
1.本剤は劇薬に該当する成分も含まれていますので、定められた用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください
3.2歳未満の乳幼児には、医師の診療を受けることを優先し、止むを得ない場合のみ服用してください",,"クロルフェニラミンマレイン酸塩
グアヤコールスルホン酸カリウム
ジヒドロコデインリン酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セレチールK錠,小林薬品工業,指定第2類,風邪薬,"かぜの諸症状(鼻水,鼻づまり,くしゃみ,のどの痛み,せき,たん,悪寒,発熱,頭痛,関節の痛み,筋肉の痛み)の緩和","次の量を,食後なるべく30分以内に水又はぬるま湯で服用してください。  [年齢:1回量:服用回数] 成人(15才以上):3錠:1日3回 12才〜14才:2錠:1日3回 12才未満:服用しないこと",[年齢:1回量:服用回数] 成人(15才以上):3錠:1日3回 12才〜14才:2錠:1日3回 12才未満:服用しないこと,"アセトアミノフェン
カンゾウ乾燥エキス
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
チアミンジスルフィド
ブロムヘキシン塩酸塩
リボフラビン
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ゼリス葛根湯シロップ,大生堂薬品工業,第2類,風邪薬,"かぜの初期症状(発熱,寒気,頭痛,鼻水,鼻づまり,のどの痛み,肩・首筋のこわばり)",次の量を1日3回食間に服用してください。  [年齢:1回量:1日服用回数] 大人(15歳以上):1本:3回 15歳未満:服用しないこと,[年齢:1回量:1日服用回数] 大人(15歳以上):1本:3回 15歳未満:服用しないこと,"カッコン
カンゾウ
ケイヒ
シャクヤク
ショウキョウ
タイソウ
マオウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ゼリス液II,大生堂薬品工業,指定第2類,風邪薬,"せき,たん","成人(15歳以上)1回10mLを1日3回食後に服用します。更に就寝前に1回服用してもよいです。必要な場合1日6回まで服用しても差し支えありませんが,その場合には約4時間の間隔をおいて服用してください。",,"オウヒエキス
キキョウ流エキス
ジヒドロコデインリン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ゼリス液,大生堂薬品工業,指定第2類,風邪薬,"せき,たん","成人(15歳以上)1回10mLを1日3回食後に服用します。更に就寝前に1回服用してもよいです。必要な場合1日6回まで服用しても差し支えありませんが,その場合には約4時間の間隔をおいて服用してください。",,"オウヒ流エキス
キキョウ流エキス
ジヒドロコデインリン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ゼリスン葛根湯内服液,大生堂薬品工業,第2類,風邪薬,"かぜの初期症状(発熱,寒気,頭痛,鼻水,鼻づまり,のどの痛み,肩・首筋のこわばり)",次の量を1日3回食間に服用してください。  [年齢:1回量:1日服用回数] 大人(15歳以上):1本:3回 15歳未満:服用しないこと,[年齢:1回量:1日服用回数] 大人(15歳以上):1本:3回 15歳未満:服用しないこと,"カッコン
カンゾウ
ケイヒ
シャクヤク
ショウキョウ
タイソウ
マオウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ゼリスン葛根湯内服液,大生堂薬品工業,第2類,風邪薬,"かぜの初期症状(発熱,寒気,頭痛,鼻水,鼻づまり,のどの痛み,肩・首筋のこわばり)",次の量を1日3回食間に服用してください。  [年齢:1回量:1日服用回数] 大人(15歳以上):1本:3回 15歳未満:服用しないこと,[年齢:1回量:1日服用回数] 大人(15歳以上):1本:3回 15歳未満:服用しないこと,"カッコン
カンゾウ
ケイヒ
シャクヤク
ショウキョウ
タイソウ
マオウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ゼリスかぜ内服液「小児用」,大生堂薬品工業,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"次の1回量を1日3回毎食後、必要な場合には就寝前に服用します
また、止むを得ない場合には、1日6回まで服用できますが、この場合には約4時間の間隔をおいてください
添付の計量カップではかって服用してください
3歳以上7歳未満:1回5mL
6カ月以上3歳未満:1回3mL
6カ月未満:服用しないこと
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください
3.2歳未満の乳幼児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください",,"アセトアミノフェン
オウヒエキス
クロルフェニラミンマレイン酸塩
デキストロメトルファン臭化水素酸塩水和物
ニンジンエキス
リボフラビン
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ゼリア「地竜エキス」顆粒,ゼリア新薬工業,第2類,風邪薬,感冒時の解熱,"[用法] 1日3回を限度とし,なるべく空腹時をさけて服用してください。なお,服用間隔は4時間以上おいてください。  [年齢:1回量] 成人(15才以上):1包 8才以上15才未満:1/2包 3才以上8才未満:1/4包 3才未満:服用しないでください。",[年齢:1回量] 成人(15才以上):1包 8才以上15才未満:1/2包 3才以上8才未満:1/4包 3才未満:服用しないでください,地竜エキス,禁止物質なし,,,,
セフールせきどめ錠,国産薬品工業,指定第2類,風邪薬,"せき,たん",次の量を服用してください。  [年齢:1回量:1日服用回数] 15才以上:4錠:3回食後 8才以上15才未満:2錠:3回食後 5才以上8才未満:1錠:3回食後 5才未満の乳幼児:服用しないでください。,[年齢:1回量:1日服用回数] 15才以上:4錠:3回食後 8才以上15才未満:2錠:3回食後 5才以上8才未満:1錠:3回食後 5才未満の乳幼児:服用しないでください,"カンゾウ末
グアヤコールスルホン酸カリウム
ジヒドロコデインリン酸塩
トコン末
ノスカピン
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セピーせき止め顆粒,ゼリア新薬工業,指定第2類,風邪薬,"せき,たん","[年齢:1回量:用法] 成人(15才以上):1包:1日3回,食後に服用してください。 12才以上15才未満:2/3包:1日3回,食後に服用してください。 12才未満:服用しないでください。",12才未満:服用しないでください,"キキョウ乾燥エキス
キョウニンエキス
グアヤコールスルホン酸カリウム
ケイヒ末
ジヒドロコデインリン酸塩
セネガ乾燥エキス
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セピーせき止めカプセル,ゼリア新薬工業,指定第2類,風邪薬,"せき,たん","[年齢:1回量:用法] 成人(15才以上):2カプセル:1日3回,食後なるべく30分以内に服用してください。 12才以上15才未満:1カプセル:1日3回,食後なるべく30分以内に服用してください。 12才未満:服用しないでください。",12才未満:服用しないでください,"グアヤコールスルホン酸カリウム
ジヒドロコデインリン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セピーIPかぜゴールド顆粒,ゼリア新薬工業,指定第2類,風邪薬,"かぜの諸症状(発熱,頭痛,のどの痛み,せき,鼻水,鼻づまり,悪寒,くしゃみ,たん,関節の痛み,筋肉の痛み)の緩和",次の1回量を食後なるべく30分以内に服用してください。  [年齢:1回量:服用回数] 成人(15才以上):1包:1日3回 15才未満:服用しないでください。,[年齢:1回量:服用回数] 成人(15才以上):1包:1日3回 15才未満:服用しないでください,"イブプロフェン
グリチルリチン酸
ジヒドロコデインリン酸塩
ブロムヘキシン塩酸塩
メキタジン
リボフラビン
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セピーIPかぜゴールド錠,ゼリア新薬工業,指定第2類,風邪薬,"かぜの諸症状(発熱,頭痛,のどの痛み,せき,鼻水,鼻づまり,悪寒,くしゃみ,たん,関節の痛み,筋肉の痛み)の緩和",次の1回量を食後なるべく30分以内に服用してください。  [年齢:1回量:服用回数] 成人(15才以上):3錠:1日3回 15才未満:服用しないでください。,[年齢:1回量:服用回数] 成人(15才以上):3錠:1日3回 15才未満:服用しないでください,"イブプロフェン
グリチルリチン酸
ジヒドロコデインリン酸塩
ブロムヘキシン塩酸塩
メキタジン
リボフラビン
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セネツロンソフトカプセル,廣貫堂,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"次の量を、食後なるべく30分以内に水又は白湯にて服用してください
成人(15歳以上):1回2カプセル
1日3回服用
7歳以上15歳未満:1回1カプセル
1日3回服用
7歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください
3.カプセルの取り出し方
添付文書図のようにカプセルの入っているPTPシートの凸部を指先で強く押して、裏面のアルミ箔を破り、取り出して服用してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",7,"アセトアミノフェン
クロルフェニラミンマレイン酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
セデリンシロップ小児用,日野薬品工業,第2類,風邪薬,"かぜの諸症状(頭痛,筋肉の痛み,関節の痛み,のどの痛み,発熱,悪寒,鼻水,鼻づまり,くしゃみ,たん)の緩和","次の1回量を添付の目盛りつき計量カップではかり,1日3回食後及び必要に応じて就寝前に服用してください。場合によって1日6回まで服用できますが,その場合には約4時間の間隔をおいてください。  [年齢:1回量] 3歳以上7歳未満:4mL 1歳以上3歳未満:3mL 6ヵ月以上1歳未満:2.4mL 3ヵ月以上6ヵ月未満:2mL 3ヵ月未満:服用しないこと",年齢:1回量] 3歳以上7歳未満:4mL 1歳以上3歳未満:3mL 6ヵ月以上1歳未満:2.4mL 3ヵ月以上6ヵ月未満:2mL 3ヵ月未満:服用しないこと,"アセトアミノフェン
クロルフェニラミンマレイン酸塩
グアイフェネシン
無水カフェイン",禁止物質なし,,,,
セシオン去たん錠M,小林薬品工業,第2類,風邪薬,"たん,たんのからむせき","次の1回量を,1日3回食後に水又はぬるま湯で服用してください。  [年齢:1回量] 成人(15才以上):2錠 8才〜14才:1錠 8才未満:服用しないこと  本剤の服用により,一時的にたんの量が増加することがあります。","[年齢:1回量] 成人(15才以上):2錠 8才〜14才:1錠 8才未満:服用しないこと  本剤の服用により,一時的にたんの量が増加することがあります","ブロムヘキシン塩酸塩
L−カルボシステイン",禁止物質なし,,,,
セシオン去たん錠,小林薬品工業,第2類,風邪薬,"たん,たんのからむせき","次の1回量を,1日3回食後に水又はぬるま湯で服用してください。  [年齢:1回量] 成人(15才以上):2錠 8才〜14才:1錠 8才未満:服用しないこと  本剤の服用により,一時的にたんの量が増加することがあります。","[年齢:1回量] 成人(15才以上):2錠 8才〜14才:1錠 8才未満:服用しないこと  本剤の服用により,一時的にたんの量が増加することがあります","ブロムヘキシン塩酸塩
L−カルボシステイン",禁止物質なし,,,,
